13.10.2011	14:15	starting grid															
3215682304																	
time	x	theta	radius	set angle	yaw angle	pitch angle	Ptot	Pstat	Ma	Patm	yaw out of range	pitch out of range	P1	P2	P3	P4	P5
3215684040	0	8	63	0	-6.387502	-0.625669	96151.18872	95733.88214	0.078851	95998.30469	0	0	96163.13557	95992.5742	95863.60961	95887.95627	95979.63552
3215684051	0	8	68.5	0	-7.682288	-1.076292	96168.26899	95781.64828	0.075882	95998.73304	0	0	96178.07905	96047.68366	95900.02656	95913.81401	95989.71705
3215684063	0	8	74	0	-8.358941	-1.385294	96158.64758	95770.8974	0.075997	95996.78318	0	0	96167.71122	96057.54465	95894.55813	95892.5356	95962.26553
3215684074	0	8	79.5	0	-9.267794	-0.110634	96167.19441	95769.15183	0.076998	95998.80457	0	0	96174.19779	96054.83234	95867.95449	95891.97442	95993.31896
3215684085	0	8	85	0	-9.201353	1.162394	96163.33318	95763.5307	0.07717	96001.29962	0	0	96169.46628	96049.16205	95863.87068	95869.89383	96001.34412
3215684096	0	8	90.5	0	-10.036683	0.066295	96141.00875	95734.61634	0.077815	95998.85106	0	0	96146.47657	96051.0233	95842.80362	95838.1484	95946.25264
3215684107	0	8	96	0	-10.329481	1.364584	96112.66984	95776.52728	0.070764	95999.44393	0	0	96115.66991	96025.69252	95848.86422	95860.9513	95976.0052
3215684118	0	8	101.5	0	-9.189331	2.004479	96085.73921	95761.67492	0.069488	95998.25978	0	0	96090.08253	95997.21889	95847.76402	95833.93201	95956.56941
3215684129	0	8	107	0	-7.920268	0.767501	96056.50542	95771.92657	0.065118	96000.15183	0	0	96062.65495	95965.45974	95853.73054	95854.73985	95941.09019
3215684140	0	8	112.5	0	-4.891193	1.28523	96022.94108	95779.3679	0.060247	95998.97385	0	0	96030.11251	95934.67563	95880.12169	95840.94082	95920.76977
3215684202	0	9	30	0	4.07939	3.129531	96081.52884	95808.07299	0.063822	95996.31687	0	0	96089.48877	95907.96381	95982.19524	95866.8524	95982.66989
3215684212	0	9	35.5	0	2.72546	0.707047	96101.79729	95786.71927	0.06851	95995.08166	0	0	96112.51911	95921.85597	95982.79377	95875.84168	95964.10374
3215684223	0	9	41	0	1.195504	1.289429	96079.56794	95791.53838	0.065505	95994.43317	0	0	96089.45459	95925.1076	95956.77277	95869.99868	95961.11864
3215684235	0	9	46.5	0	-0.294269	0.965833	96089.50005	95782.77627	0.067598	95995.39101	0	0	96100.16584	95933.64716	95942.19347	95874.00342	95965.93132
3215684246	0	9	52	0	-1.948226	-0.624346	96118.11413	95761.63032	0.072876	95992.72192	0	0	96130.79141	95950.51458	95927.57513	95889.33925	95964.47438
3215684257	0	9	57.5	0	-3.265994	-0.525125	96117.84834	95785.51532	0.070359	95991.47201	0	0	96129.23443	95975.91341	95930.56123	95899.81124	95972.61548
3215684268	0	9	63	0	-3.728637	-2.247607	96133.13235	95731.90222	0.077321	95989.88613	0	0	96147.24795	95966.37925	95900.81255	95892.62118	95941.91899
3215684279	0	9	68.5	0	-6.843932	0.075293	96158.74333	95740.0339	0.078981	95989.97394	0	0	96169.79162	96014.28161	95874.60051	95873.74191	95983.03944
3215684290	0	9	74	0	-6.080311	-0.554087	96137.72623	95718.174	0.079069	95988.19097	0	0	96150.02513	95989.61035	95867.15321	95858.04582	95951.68551
3215684301	0	9	79.5	0	-8.3048	-0.109895	96159.04316	95729.30947	0.080017	95988.36045	0	0	96168.36319	96023.99697	95845.4595	95868.17592	95976.91834
3215684312	0	9	85	0	-8.181764	0.83234	96134.75741	95747.82802	0.075926	95988.43177	0	0	96142.68005	96019.03041	95861.51153	95853.37862	95972.43836
3215684323	0	9	90.5	0	-10.775929	0.423488	96111.91913	95770.52788	0.071316	95987.69109	0	0	96114.83276	96029.62514	95840.80001	95864.07155	95962.30447
3215684334	0	9	96	0	-10.58737	2.250117	96104.76027	95769.47818	0.070676	95990.61529	0	0	96106.43516	96024.30085	95843.77617	95837.99794	95970.37007
3215684345	0	9	101.5	0	-9.458187	0.784809	96100.86267	95725.17696	0.074825	95987.68135	0	0	96106.46735	96001.10491	95821.32836	95824.32305	95939.67815
3215684356	0	9	107	0	-9.553491	3.009935	96040.3876	95758.88236	0.06477	95988.57443	0	0	96042.84992	95965.83049	95830.87256	95810.60633	95934.10671
3215684367	0	9	112.5	0	-8.043102	1.158656	96007.58256	95759.10869	0.060856	95987.09265	0	0	96012.64616	95926.35204	95827.24979	95830.27288	95911.42456
3215684423	0	10	30	0	2.692436	3.449541	96131.92673	95849.60933	0.064833	95986.67622	0	0	96140.49882	95964.64465	96019.73474	95907.09537	96032.56752
3215684434	0	10	35.5	0	1.616238	2.035739	96177.66939	95808.31193	0.074161	95985.58386	0	0	96189.95706	95969.06235	96018.55725	95904.8457	96037.87204
